0.6016,1.359,1.113,0.359,1.405,2.022,3.439,1.196,2.603,1.015,2.243
0.6014,1.354,1.113,0.352,1.403,2.022,3.44,1.193,2.603,1.014,2.233
0.6032,1.354,1.117,0.352,1.413,2.023,3.423,1.2,2.602,1.014,2.236
0.6006,1.363,1.125,0.349,1.398,2.022,3.472,1.188,2.595,1.015,2.231
0.612,1.363,1.122,0.363,1.413,2.074,3.574,1.21,2.657,1.037,2.293
0.6014,1.363,1.129,0.361,1.370,2.079,3.649,1.174,2.657,1.034,2.295
0.6096,1.362,1.126,0.366,1.393,2.098,3.692,1.197,2.687,1.054,2.329
0.6026,1.364,1.123,0.367,1.382,2.093,3.68,1.193,2.693,1.049,2.325
0.6024,1.365,1.123,0.367,1.378,2.086,3.669,1.188,2.677,1.048,2.326
0.6014,1.368,1.119,0.363,1.393,2.088,3.604,1.194,2.661,1.042,2.307
0.5988,1.368,1.123,0.357,1.392,2.063,3.54,1.195,2.636,1.03,2.284
0.5998,1.385,1.132,0.355,1.399,2.055,3.528,1.195,2.631,1.03,2.273
0.5988,1.372,1.127,0.355,1.397,2.057,3.556,1.195,2.631,1.029,2.279
0.6088,1.378,1.13,0.361,1.413,2.089,3.659,1.21,2.683,1.049,2.326
0.6242,1.37,1.127,0.374,1.436,2.121,3.755,1.227,2.744,1.074,2.382
0.6336,1.383,1.136,0.377,1.457,2.158,3.787,1.254,2.78,1.087,2.404
0.6364,1.389,1.137,0.38,1.462,2.176,3.919,1.254,2.817,1.097,2.448
0.641,1.4,1.139,0.382,1.474,2.183,4.039,1.26,2.85,1.109,2.484
0.6488,1.4,1.139,0.39,1.469,2.237,4.216,1.26,2.906,1.138,2.542
0.6506,1.398,1.132,0.393,1.462,2.247,4.216,1.257,2.917,1.141,2.543
0.6686,1.382,1.127,0.408,1.481,2.315,4.527,1.275,3.024,1.2,2.65
0.689,1.395,1.134,0.416,1.500,2.317,4.493,1.288,3.06,1.203,2.678
0.714,1.397,1.139,0.432,1.530,2.411,4.942,1.316,3.21,1.306,2.812
0.709,1.39,1.136,0.425,1.499,2.426,5.169,1.288,3.218,1.274,2.848
0.7372,1.391,1.141,0.454,1.519,2.491,5.237,1.318,3.372,1.311,2.99
0.6998,1.373,1.13,0.435,1.457,2.396,4.9,1.267,3.16,1.25,2.824
0.733,1.394,1.133,0.455,1.514,2.48,5.019,1.329,3.305,1.302,2.914
0.7332,1.364,1.115,0.456,1.533,2.475,4.877,1.345,3.262,1.289,2.867
0.736,1.365,1.107,0.453,1.542,2.464,4.86,1.351,3.266,1.289,2.876
0.739,1.353,1.1,0.457,1.567,2.471,4.87,1.389,3.304,1.302,2.898
0.7492,1.35,1.094,0.468,1.570,2.518,5.289,1.375,3.379,1.332,2.997
0.7508,1.33,1.083,0.475,1.558,2.558,5.508,1.357,3.42,1.359,3.067
0.7446,1.362,1.109,0.48,1.562,2.554,5.364,1.365,3.411,1.354,3.051
0.7422,1.403,1.137,0.502,1.548,2.649,5.388,1.372,3.467,1.372,3.103
0.736,1.397,1.14,0.503,1.489,2.69,5.499,1.333,3.464,1.378,3.112
0.727,1.4,1.146,0.487,1.456,2.59,5.408,1.294,3.368,1.341,3.037
