Date,Open,High,Low,Close,Volume,Adj Close
2004-03-17,109.200005,110.380016,108.870003,110.350021,88200,15.349754
2004-03-16,109.150017,109.159985,107.850002,108.660004,85200,15.114672
2004-03-15,109.049995,109.399979,108.349983,108.490025,193800,15.091028
2004-03-12,107.970005,109.069977,107.700005,109.069977,124800,15.171699
2004-03-11,108.509995,109.290001,107.389984,107.500019,136800,14.953317
2004-03-10,111.649979,111.649979,108.899998,109.000019,221400,15.161968
2004-03-09,112.300014,112.450024,111.190018,111.660004,147000,15.531974
2004-03-08,113.449986,113.580002,112.470005,112.470005,145800,15.644645
2004-03-05,112.099983,112.999981,112.099983,112.780025,159600,15.687769
2004-03-04,111.550014,111.730019,111.00,111.499981,84600,15.509714
2004-03-03,111.400017,111.839996,110.52,111.720005,136800,15.54032
2004-03-02,113.050014,113.119984,111.720005,111.839996,128400,15.557011
2004-03-01,111.349983,113.129997,111.349983,113.050014,355200,15.725325
2004-02-27,110.25,110.989975,109.999981,110.809982,71400,15.413735
2004-02-26,109.399979,110.140022,109.000019,109.999981,178200,15.301063
2004-02-25,108.870003,109.379997,108.739975,109.350002,150000,15.210651
2004-02-24,108.089996,109.129978,108.089996,108.870003,63000,15.143883
2004-02-23,108.349983,108.460018,108.010025,108.22998,105600,15.054855
2004-02-20,108.949986,108.949986,107.20998,108.060001,184800,15.031211
2004-02-19,108.75,109.120022,108.160023,108.649979,141000,15.113277
2004-02-18,109.900017,109.900017,108.070015,108.070015,100200,15.032604
2004-02-17,109.399979,109.780025,109.369984,109.720024,194400,15.262121
2004-02-13,109.000019,109.000019,107.950024,108.430023,171000,15.082681
2004-02-12,108.700024,109.309982,108.450005,108.799976,129000,15.134142
2004-02-11,107.299976,108.919979,107.100002,108.700024,120000,15.120239
2004-02-10,106.350002,107.399998,106.099983,107.239975,199800,14.917145
2004-02-09,105.810001,106.420017,105.810001,106.140003,139200,14.764138
2004-02-06,103.950005,104.68998,103.560001,104.620022,51000,14.552708
2004-02-05,103.900017,104.20998,103.140003,103.630016,69000,14.414998
2004-02-04,105.049976,105.049976,103.870022,103.990025,87600,14.465075
2004-02-03,105.199986,105.469975,104.700005,105.319977,91200,14.650072
2004-02-02,104.800014,105.600002,104.089977,105.070015,175200,14.615302
2004-01-30,105.100021,105.100021,104.339996,104.980019,189600,14.602784
2004-01-29,106.699986,106.699986,104.549995,105.070015,83400,14.615302
2004-01-28,108.00,108.299995,106.090015,106.450024,67800,14.807262
2004-01-27,108.499981,108.760025,108.010025,108.199986,99000,15.050683
2004-01-26,107.800014,108.319977,107.320015,108.319977,163200,15.067374
2004-01-23,108.199986,108.660004,107.620022,107.839977,99000,15.000606
2004-01-22,108.899998,108.899998,107.759995,108.04002,39000,15.028432
2004-01-21,108.00,108.810001,107.899979,108.629997,174000,15.110498
2004-01-20,106.600021,108.109978,106.360016,107.950024,193800,15.015913
2004-01-16,104.749981,105.43998,104.470024,105.43998,226800,14.666765
2004-01-15,107.100002,107.149979,105.00,105.04002,280800,14.61113
2004-01-14,106.999981,106.999981,106.02,106.549976,129600,14.821166
2004-01-13,107.899979,108.180004,107.009995,107.009995,63600,14.885155
2004-01-12,107.899979,107.899979,107.20998,107.500019,100200,14.953317
2004-01-09,106.589996,108.209999,106.279976,107.700005,201000,14.981135
2004-01-08,107.47998,108.029995,106.840015,107.989975,110400,15.02147
2004-01-07,108.349983,108.349983,107.050014,107.449986,189600,14.946358
2004-01-06,109.450024,109.480019,108.600002,108.949986,463800,15.155008
2004-01-05,108.00,109.200005,108.00,109.200005,319800,15.189786
2004-01-02,107.449986,107.700005,106.849983,107.009995,253200,14.885155
2003-12-31,107.950024,108.00,106.750019,106.81002,90600,14.857338
2003-12-30,107.399998,107.839977,107.299976,107.320015,189000,14.928279
2003-12-29,105.949986,107.310001,105.949986,107.25,112800,14.918539
